name,rate,location,cuisines,cost_for_two,type
Mini Punjabi Dhaba,4.2,Banashankari,North Indian,350,Delivery
Mulabagilu Dosa,3.6,Basavanagudi,South Indian,100,Delivery
Cafe Down The Alley,4.1,Banashankari,Cafe,500,Delivery
Gokul Veg,3.8,Basavanagudi,"North Indian, Chinese, Beverages",750,Delivery
Olive - Era,3.3,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery
Udupi Ruchi,3.9,Banashankari,"South Indian, North Indian, Chinese, Street Food",200,Delivery
Madhappa Hindu Military Hotel,3.4,Banashankari,South Indian,300,Delivery
Gama Gama,3.9,Banashankari,South Indian,200,Delivery
The Vintage Cafe,3,Banashankari,"Cafe, French, North Indian",400,Delivery
Pizza Hut,3.8,Banashankari,"Pizza, Fast Food",750,Delivery
Mangalore Pearl,3.8,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",650,Delivery
Asha Sweets Centre,3.6,Basavanagudi,Fast Food,250,Delivery
Twiststick House,4.1,Basavanagudi,"Continental, Fast Food, Street Food, Momos",500,Delivery
Cool Corner,4.2,Basavanagudi,"Street Food, Fast Food",250,Delivery
Pizza Mane,3.5,Banashankari,"Pizza, Sandwich, Burger, Fast Food",150,Delivery
Chutney Chang,4.1,Jayanagar,"North Indian, Chinese, BBQ",1500,Delivery
Mystique Palate,4.1,Jayanagar,"Chinese, Fast Food",300,Delivery
Thamboola,3.9,Banashankari,"North Indian, Chinese, Continental",800,Delivery
Vietnamese Kitchen,3.6,Banashankari,Vietnamese,700,Delivery
Smacznego,4.2,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery
C Corner,3.2,Kumaraswamy Layout,"Fast Food, Street Food",200,Delivery
Paratha Merchant,3.1,Kumaraswamy Layout,North Indian,300,Delivery
North Rasoe,3.1,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",500,Delivery
Inchara Restaurant,3.7,Basavanagudi,"North Indian, Chinese",300,Delivery
Toscano,4.3,Jayanagar,"Italian, Salad",1300,Delivery
