name,rate,location,cuisines,cost_for_two
"Kollapuri's,Basavanagudi",3.9,Basavanagudi,"South Indian, Mangalorean, Delivery, Dine-out",450
"Sugar Stars Co,Basavanagudi",3.7,Basavanagudi,"Bakery, Desserts, Delivery, Desserts",300
"Bombay Kulfis,JP Nagar",3.7,JP Nagar,"Ice Cream, Delivery, Desserts, Desserts",200
"RS Shiv Sagar,Basavanagudi",3.7,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices, Delivery, Dine-out",450
"Kholi Mane,Basavanagudi",3.6,Basavanagudi,"Andhra, South Indian, Biryani, North Indian, Delivery, Dine-out",450
"Harshi Super Sandwich,Basavanagudi",3.8,Basavanagudi,"Fast Food, Street Food, Delivery, Dine-out",150
"Cake Yard,Basavanagudi",3.4,Basavanagudi,"Desserts, Delivery, Desserts, Delivery, Desserts",250
"Sri Udupi Veg,Jayanagar",3.3,Jayanagar,"South Indian, Delivery, Dine-out, Dine-out",250
"Cake Art,Basavanagudi",3.5,Basavanagudi,"Bakery, Delivery, Desserts",400
"Aahar Cafe,Basavanagudi",3.7,Basavanagudi,"South Indian, Delivery, Dine-out",100
"New Sri Udupi Restaurant,Jayanagar",3.7,Jayanagar,"North Indian, South Indian, Chinese, Beverages, Fast Food, Delivery, Dine-out",200
"Ugadi,Jayanagar",2.9,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean, Delivery, Dine-out",700
"Sri Krishna Sweets,Basavanagudi",3.7,Basavanagudi,"Mithai, Desserts, Delivery, Desserts, Delivery",250
"In Time Cane Juice,Kumaraswamy Layout",3.5,Kumaraswamy Layout,"Juices, Beverages, Delivery, Dine-out",100
"Subway,Banashankari",3.7,Banashankari,"Salad, Fast Food, Delivery, Dine-out",600
"Daal Roti,Kumaraswamy Layout",2.9,Kumaraswamy Layout,"North Indian, Chinese, Delivery",250
"The Lassi Park,Jayanagar",4.1,Jayanagar,"Juices, Desserts, Delivery",200
"Cafe Coffee Day,Jayanagar",3.2,Jayanagar,"Cafe, Fast Food, Delivery, Desserts, Cafes, Dine-out",900
"Srikrishna Bhavan,Banashankari",3.8,Banashankari,"South Indian, North Indian, Chinese, Delivery, Dine-out",300
"Green Gardenia,Banashankari",3.8,Banashankari,"North Indian, Chinese, Delivery, Dine-out",700
"J Spice,Banashankari",3.8,Banashankari,"North Indian, Chinese, Delivery, Dine-out",750
"Karavali Family Restaurant,Jayanagar",3.5,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese, Delivery, Dine-out",500
"Karavali Lunch Home,Kumaraswamy Layout",3.7,Kumaraswamy Layout,"South Indian, Mangalorean, Delivery",350
"Hatti Kaapi,Jayanagar",4.0,Jayanagar,"South Indian, Beverages, Delivery",200
"Kolkata Kathi Roll's,Banashankari",3.6,Banashankari,"Fast Food, Rolls, Delivery, Dine-out",250
"Upahara Darshini,Basavanagudi",3.9,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Delivery, Dine-out, Dine-out, Dine-out",600
"Anda Ka Funda,Jayanagar",3.4,Jayanagar,"North Indian, Chinese, Rolls, Delivery, Dine-out, Dine-out, Delivery, Dine-out",250
"Shri Vinayaka Ice N Juice,Basavanagudi",3.2,Basavanagudi,"Beverages, Fast Food, Delivery, Dine-out, Dine-out, Delivery",150
"Ibaco,Jayanagar",3.9,Jayanagar,"Desserts, Delivery, Desserts, Delivery",300
"Jalaram Sweets,Jayanagar",3.8,Jayanagar,"Desserts, Mithai, Delivery, Desserts",250
"Samskruti - Sanman Gardenia,Jayanagar",4.1,Jayanagar,"North Indian, Chinese, South Indian, Delivery, Buffet, Dine-out, Buffet, Delivery, Dine-out",550
